dataset,image_index,method,k,pfa_target,threshold,pd,empirical_pfa,target_count,bg_count
simMed,0,low_rank_residual,3,0.01,168.4536116108804,0.8604651162790697,0.010001068816514741,43,65493
simMed,0,low_rank_residual,5,1e-05,8143.263063957227,0.046511627906976744,1.526880735345762e-05,43,65493
simMed,0,low_rank_residual,5,3e-05,5870.939176578246,0.09302325581395349,3.053761470691524e-05,43,65493
simMed,0,low_rank_residual,5,0.0001,3953.1533001003054,0.18604651162790697,0.00010688165147420336,43,65493
simMed,0,low_rank_residual,5,0.0003,1838.9273792824263,0.32558139534883723,0.00030537614706915243,43,65493
simMed,0,low_rank_residual,5,0.001,363.1847015934869,0.7441860465116279,0.001007741285328203,43,65493
simMed,0,low_rank_residual,5,0.003,161.71681086626214,0.8604651162790697,0.0030079550486311513,43,65493
simMed,0,low_rank_residual,5,0.01,80.47429049792618,0.9767441860465116,0.010001068816514741,43,65493
simMed,0,low_rank_residual,8,1e-05,7391.623815620509,0.046511627906976744,1.526880735345762e-05,43,65493
simMed,0,low_rank_residual,8,3e-05,4660.057433140243,0.11627906976744186,3.053761470691524e-05,43,65493
simMed,0,low_rank_residual,8,0.0001,2738.641072137601,0.20930232558139536,0.00010688165147420336,43,65493
simMed,0,low_rank_residual,8,0.0003,1110.6647867521924,0.4418604651162791,0.00030537614706915243,43,65493
simMed,0,low_rank_residual,8,0.001,273.4460224107594,0.6976744186046512,0.001007741285328203,43,65493
simMed,0,low_rank_residual,8,0.003,78.57735097829301,0.9767441860465116,0.0030079550486311513,43,65493
simMed,0,low_rank_residual,8,0.01,45.275561766282806,1.0,0.010001068816514741,43,65493
simMed,0,low_rank_residual,10,1e-05,4106.5621769474365,0.09302325581395349,1.526880735345762e-05,43,65493
simMed,0,low_rank_residual,10,3e-05,3708.271206123289,0.11627906976744186,3.053761470691524e-05,43,65493
simMed,0,low_rank_residual,10,0.0001,2125.7455466323904,0.23255813953488372,0.00010688165147420336,43,65493
simMed,0,low_rank_residual,10,0.0003,925.0622172062099,0.5116279069767442,0.00030537614706915243,43,65493
simMed,0,low_rank_residual,10,0.001,221.5962553889922,0.7441860465116279,0.001007741285328203,43,65493
simMed,0,low_rank_residual,10,0.003,69.13737594186479,0.9534883720930233,0.0030079550486311513,43,65493
simMed,0,low_rank_residual,10,0.01,37.833564984186815,0.9767441860465116,0.010001068816514741,43,65493
simMed,0,low_rank_residual,15,1e-05,2996.8888674880773,0.06976744186046512,1.526880735345762e-05,43,65493
simMed,0,low_rank_residual,15,3e-05,2210.808759616837,0.18604651162790697,3.053761470691524e-05,43,65493
simMed,0,low_rank_residual,15,0.0001,1640.6512765117827,0.23255813953488372,0.00010688165147420336,43,65493
simMed,0,low_rank_residual,15,0.0003,756.8536418543412,0.5116279069767442,0.00030537614706915243,43,65493
simMed,0,low_rank_residual,15,0.001,214.65453096152547,0.7441860465116279,0.001007741285328203,43,65493
simMed,0,low_rank_residual,15,0.003,48.88130508683595,0.9767441860465116,0.0030079550486311513,43,65493
simMed,0,low_rank_residual,15,0.01,22.86706593540242,0.9767441860465116,0.010001068816514741,43,65493
simMed,0,low_rank_residual,20,1e-05,1438.8292450966092,0.13953488372093023,1.526880735345762e-05,43,65493
simMed,0,low_rank_residual,20,3e-05,1150.4511124470987,0.20930232558139536,3.053761470691524e-05,43,65493
simMed,0,low_rank_residual,20,0.0001,964.2683688397875,0.3023255813953488,0.00010688165147420336,43,65493
simMed,0,low_rank_residual,20,0.0003,427.50409245637593,0.4418604651162791,0.00030537614706915243,43,65493
simMed,0,low_rank_residual,20,0.001,132.16712110978668,0.7674418604651163,0.001007741285328203,43,65493
simMed,0,low_rank_residual,20,0.003,35.78077130032247,0.9534883720930233,0.0030079550486311513,43,65493
