pfa_target,threshold,pd,empirical_pfa,target_count,background_count,max_false_alarms,false_alarms,detections,threshold_policy,asset,image_index,item_id,method,method_family,train_asset,test_asset
0.0001,0.9982995741675537,0.8695652173913043,9.158487628409629e-05,23,65513,6,6,26,loso_supervised_raw_residual_hgb_conservative_topk_strict_gt,simWind_test.mat,16,simWind_test.mat#16,loso_supervised_raw_residual_hgb,learned_raw_residual_feature_ensemble,simMed_test.mat,simWind_test.mat
0.0003,0.983091574873548,0.9130434782608695,0.00029001877489963823,23,65513,19,19,40,loso_supervised_raw_residual_hgb_conservative_topk_strict_gt,simWind_test.mat,16,simWind_test.mat#16,loso_supervised_raw_residual_hgb,learned_raw_residual_feature_ensemble,simMed_test.mat,simWind_test.mat
0.001,0.8982139638143438,0.9130434782608695,0.0009921694930777097,23,65513,65,65,86,loso_supervised_raw_residual_hgb_conservative_topk_strict_gt,simWind_test.mat,16,simWind_test.mat#16,loso_supervised_raw_residual_hgb,learned_raw_residual_feature_ensemble,simMed_test.mat,simWind_test.mat
0.003,0.7051572890062089,0.9565217391304348,0.0029917726252804786,23,65513,196,196,218,loso_supervised_raw_residual_hgb_conservative_topk_strict_gt,simWind_test.mat,16,simWind_test.mat#16,loso_supervised_raw_residual_hgb,learned_raw_residual_feature_ensemble,simMed_test.mat,simWind_test.mat
0.01,0.28759417175258434,0.9565217391304348,0.009998015661013845,23,65513,655,655,677,loso_supervised_raw_residual_hgb_conservative_topk_strict_gt,simWind_test.mat,16,simWind_test.mat#16,loso_supervised_raw_residual_hgb,learned_raw_residual_feature_ensemble,simMed_test.mat,simWind_test.mat
1e-05,0.99977880383331,0.10344827586206896,0.0,29,65507,0,0,3,loso_supervised_raw_residual_hgb_conservative_topk_strict_gt,simWind_test.mat,17,simWind_test.mat#17,loso_supervised_raw_residual_hgb,learned_raw_residual_feature_ensemble,simMed_test.mat,simWind_test.mat
3e-05,0.9997766626780037,0.13793103448275862,1.5265544140320883e-05,29,65507,1,1,5,loso_supervised_raw_residual_hgb_conservative_topk_strict_gt,simWind_test.mat,17,simWind_test.mat#17,loso_supervised_raw_residual_hgb,learned_raw_residual_feature_ensemble,simMed_test.mat,simWind_test.mat
0.0001,0.9991463106816411,0.7241379310344828,9.159326484192529e-05,29,65507,6,6,27,loso_supervised_raw_residual_hgb_conservative_topk_strict_gt,simWind_test.mat,17,simWind_test.mat#17,loso_supervised_raw_residual_hgb,learned_raw_residual_feature_ensemble,simMed_test.mat,simWind_test.mat
0.0003,0.9836000425888429,0.7931034482758621,0.00029004533866609675,29,65507,19,19,42,loso_supervised_raw_residual_hgb_conservative_topk_strict_gt,simWind_test.mat,17,simWind_test.mat#17,loso_supervised_raw_residual_hgb,learned_raw_residual_feature_ensemble,simMed_test.mat,simWind_test.mat
0.001,0.8644616425226882,0.896551724137931,0.0009922603691208574,29,65507,65,65,91,loso_supervised_raw_residual_hgb_conservative_topk_strict_gt,simWind_test.mat,17,simWind_test.mat#17,loso_supervised_raw_residual_hgb,learned_raw_residual_feature_ensemble,simMed_test.mat,simWind_test.mat
0.003,0.5469979410805921,0.896551724137931,0.002992046651502893,29,65507,196,196,222,loso_supervised_raw_residual_hgb_conservative_topk_strict_gt,simWind_test.mat,17,simWind_test.mat#17,loso_supervised_raw_residual_hgb,learned_raw_residual_feature_ensemble,simMed_test.mat,simWind_test.mat
0.01,0.17933981855740289,0.9310344827586207,0.009998931411910177,29,65507,655,655,682,loso_supervised_raw_residual_hgb_conservative_topk_strict_gt,simWind_test.mat,17,simWind_test.mat#17,loso_supervised_raw_residual_hgb,learned_raw_residual_feature_ensemble,simMed_test.mat,simWind_test.mat
1e-05,0.9996481208742843,0.7115384615384616,0.0,52,65484,0,0,37,loso_supervised_raw_residual_hgb_conservative_topk_strict_gt,simWind_test.mat,18,simWind_test.mat#18,loso_supervised_raw_residual_hgb,learned_raw_residual_feature_ensemble,simMed_test.mat,simWind_test.mat
3e-05,0.9996323721175007,0.7307692307692307,1.5270905870136215e-05,52,65484,1,1,39,loso_supervised_raw_residual_hgb_conservative_topk_strict_gt,simWind_test.mat,18,simWind_test.mat#18,loso_supervised_raw_residual_hgb,learned_raw_residual_feature_ensemble,simMed_test.mat,simWind_test.mat
0.0001,0.9994335185743435,0.8461538461538461,9.16254352208173e-05,52,65484,6,6,50,loso_supervised_raw_residual_hgb_conservative_topk_strict_gt,simWind_test.mat,18,simWind_test.mat#18,loso_supervised_raw_residual_hgb,learned_raw_residual_feature_ensemble,simMed_test.mat,simWind_test.mat
0.0003,0.9964313997747523,0.9230769230769231,0.0002901472115325881,52,65484,19,19,67,loso_supervised_raw_residual_hgb_conservative_topk_strict_gt,simWind_test.mat,18,simWind_test.mat#18,loso_supervised_raw_residual_hgb,learned_raw_residual_feature_ensemble,simMed_test.mat,simWind_test.mat
0.001,0.9510825953043576,0.9807692307692307,0.000992608881558854,52,65484,65,65,116,loso_supervised_raw_residual_hgb_conservative_topk_strict_gt,simWind_test.mat,18,simWind_test.mat#18,loso_supervised_raw_residual_hgb,learned_raw_residual_feature_ensemble,simMed_test.mat,simWind_test.mat
0.003,0.8023240557795592,1.0,0.0029930975505466986,52,65484,196,196,248,loso_supervised_raw_residual_hgb_conservative_topk_strict_gt,simWind_test.mat,18,simWind_test.mat#18,loso_supervised_raw_residual_hgb,learned_raw_residual_feature_ensemble,simMed_test.mat,simWind_test.mat
0.01,0.47757492185357375,1.0,0.009987172439069086,52,65484,654,654,706,loso_supervised_raw_residual_hgb_conservative_topk_strict_gt,simWind_test.mat,18,simWind_test.mat#18,loso_supervised_raw_residual_hgb,learned_raw_residual_feature_ensemble,simMed_test.mat,simWind_test.mat
1e-05,0.999753261967136,0.2916666666666667,0.0,24,65512,0,0,7,loso_supervised_raw_residual_hgb_conservative_topk_strict_gt,simWind_test.mat,19,simWind_test.mat#19,loso_supervised_raw_residual_hgb,learned_raw_residual_feature_ensemble,simMed_test.mat,simWind_test.mat
