asset,item_id,image_index,pfa_target,target_method,comparator,target_pd,comparator_pd,delta_pd,target_empirical_pfa,target_count,outcome
simMed_test.mat,simMed_test.mat#12,12,0.001,tpsscs_finished_detector,raw,0.6140350877192983,0.4210526315789473,0.19298245614035098,0.0009926846775302,57,win
simMed_test.mat,simMed_test.mat#12,12,0.003,tpsscs_finished_detector,raw,0.7719298245614035,0.5964912280701754,0.17543859649122806,0.0029933261045526,57,win
simMed_test.mat,simMed_test.mat#12,12,0.01,tpsscs_finished_detector,raw,0.8596491228070176,0.7543859649122807,0.10526315789473684,0.00998793506315,57,win
simMed_test.mat,simMed_test.mat#121,121,1e-05,tpsscs_finished_detector,raw,0.1081081081081081,0.027027027027027,0.0810810810810811,0.0,37,win
simMed_test.mat,simMed_test.mat#121,121,3e-05,tpsscs_finished_detector,raw,0.1621621621621621,0.1081081081081081,0.05405405405405399,1.5267408662727676e-05,37,win
simMed_test.mat,simMed_test.mat#121,121,0.0001,tpsscs_finished_detector,raw,0.2972972972972973,0.1891891891891892,0.10810810810810811,9.160445197636606e-05,37,win
simMed_test.mat,simMed_test.mat#121,121,0.0003,tpsscs_finished_detector,raw,0.5675675675675675,0.2432432432432432,0.32432432432432434,0.0002900807645918,37,win
simMed_test.mat,simMed_test.mat#121,121,0.001,tpsscs_finished_detector,raw,0.7567567567567568,0.2972972972972973,0.4594594594594595,0.0009923815630772,37,win
simMed_test.mat,simMed_test.mat#121,121,0.003,tpsscs_finished_detector,raw,0.8918918918918919,0.3243243243243243,0.5675675675675675,0.0029924120978946,37,win
simMed_test.mat,simMed_test.mat#121,121,0.01,tpsscs_finished_detector,raw,0.918918918918919,0.5675675675675675,0.3513513513513514,0.0099848852654238,37,win
simMed_test.mat,simMed_test.mat#122,122,1e-05,tpsscs_finished_detector,raw,0.1333333333333333,0.1333333333333333,0.0,0.0,15,tie
simMed_test.mat,simMed_test.mat#122,122,3e-05,tpsscs_finished_detector,raw,0.2,0.1333333333333333,0.06666666666666671,1.5262282321698386e-05,15,win
simMed_test.mat,simMed_test.mat#122,122,0.0001,tpsscs_finished_detector,raw,0.3333333333333333,0.2666666666666666,0.06666666666666671,9.157369393019031e-05,15,win
simMed_test.mat,simMed_test.mat#122,122,0.0003,tpsscs_finished_detector,raw,0.4,0.3333333333333333,0.06666666666666671,0.0002899833641122,15,win
simMed_test.mat,simMed_test.mat#122,122,0.001,tpsscs_finished_detector,raw,0.5333333333333333,0.4,0.1333333333333333,0.0009920483509103,15,win
simMed_test.mat,simMed_test.mat#122,122,0.003,tpsscs_finished_detector,raw,0.6666666666666666,0.5333333333333333,0.1333333333333333,0.0029914073350528,15,win
simMed_test.mat,simMed_test.mat#122,122,0.01,tpsscs_finished_detector,raw,0.6666666666666666,0.8,-0.13333333333333341,0.0099967949207124,15,loss
simMed_test.mat,simMed_test.mat#123,123,1e-05,tpsscs_finished_detector,raw,0.1428571428571428,0.0,0.1428571428571428,0.0,42,win
simMed_test.mat,simMed_test.mat#123,123,3e-05,tpsscs_finished_detector,raw,0.1428571428571428,0.0476190476190476,0.09523809523809519,1.5268574220539285e-05,42,win
simMed_test.mat,simMed_test.mat#123,123,0.0001,tpsscs_finished_detector,raw,0.3809523809523809,0.0952380952380952,0.2857142857142857,9.161144532323573e-05,42,win
simMed_test.mat,simMed_test.mat#123,123,0.0003,tpsscs_finished_detector,raw,0.5476190476190477,0.0952380952380952,0.45238095238095244,0.0002901029101902,42,win
simMed_test.mat,simMed_test.mat#123,123,0.001,tpsscs_finished_detector,raw,0.7380952380952381,0.1904761904761904,0.5476190476190477,0.000992457324335,42,win
simMed_test.mat,simMed_test.mat#123,123,0.003,tpsscs_finished_detector,raw,0.9047619047619048,0.3333333333333333,0.5714285714285714,0.0029926405472257,42,win
simMed_test.mat,simMed_test.mat#123,123,0.01,tpsscs_finished_detector,raw,0.9761904761904762,0.4523809523809524,0.5238095238095237,0.0099856475402326,42,win
simMed_test.mat,simMed_test.mat#124,124,1e-05,tpsscs_finished_detector,raw,0.0,0.12,-0.12,0.0,25,loss
simMed_test.mat,simMed_test.mat#124,124,3e-05,tpsscs_finished_detector,raw,0.2,0.12,0.08000000000000002,1.526461204988475e-05,25,win
simMed_test.mat,simMed_test.mat#124,124,0.0001,tpsscs_finished_detector,raw,0.32,0.32,0.0,9.158767229930853e-05,25,tie
simMed_test.mat,simMed_test.mat#124,124,0.0003,tpsscs_finished_detector,raw,0.44,0.44,0.0,0.0002900276289478,25,tie
simMed_test.mat,simMed_test.mat#124,124,0.001,tpsscs_finished_detector,raw,0.52,0.48,0.040000000000000036,0.0009921997832425,25,win
simMed_test.mat,simMed_test.mat#124,124,0.003,tpsscs_finished_detector,raw,0.56,0.56,0.0,0.0029918639617774,25,tie
