label_budget,label_budget_positive_frames,asset,pfa_target,compact_pd,low_label_hgb_pd,delta_compact_minus_low_label_hgb,compact_empirical_pfa,low_label_hgb_empirical_pfa,n_items,n_pair_observations,n_seeds,compact_item_win_fraction,compact_pfa_calibrated,low_label_hgb_pfa_calibrated,compact_beats_low_label_hgb,pfa
32,32,combined,3e-05,0.2358216637678027,0.4291939337001949,-0.1933722699323922,1.526753812803079e-05,1.5219072752569132e-05,210,630,3,0.12698412698412698,True,True,False,3e-05
32,32,combined,0.003,0.813040071150322,0.9073580469658711,-0.09431797581554925,0.0029924374730939812,0.0029923405678647557,210,630,3,0.07936507936507936,True,True,False,0.003
32,32,combined,0.0001,0.3681866997918742,0.6432172127775293,-0.2750305129856551,9.160522876818475e-05,9.160522876818475e-05,210,630,3,0.03015873015873016,True,True,False,0.0001
32,32,combined,0.01,0.8677902575913438,0.9464445140371464,-0.07865425644580244,0.009992820396478945,0.009992747720053338,210,630,3,0.05873015873015873,True,True,False,0.01
32,32,combined,0.0003,0.5261399631103596,0.7682883608538065,-0.2421483977434468,0.0002900832244325381,0.00029008322443258505,210,630,3,0.02857142857142857,True,True,False,0.0003
32,32,simMed_test.mat,0.01,0.8692331860864191,0.948025364148629,-0.07879217806220991,0.009992820396478945,0.009992820396478997,105,315,3,0.06349206349206349,True,True,False,0.01
32,32,simWind_test.mat,1e-05,0.18451921564993898,0.3516550924481597,-0.16713587679822065,0.0,0.0,105,315,3,0.15555555555555556,True,True,False,1e-05
32,32,simWind_test.mat,3e-05,0.23871466421913762,0.44920905349650025,-0.2104943892773627,1.526753812803079e-05,1.526753812803079e-05,105,315,3,0.09841269841269841,True,True,False,3e-05
32,32,simWind_test.mat,0.0001,0.3732452108276595,0.6528250769114986,-0.27957986608383917,9.160522876818475e-05,9.160522876818475e-05,105,315,3,0.03492063492063492,True,True,False,0.0001
32,32,simMed_test.mat,0.001,0.6957533928816516,0.8455532482320093,-0.1497998553503577,0.0009923899783219553,0.0009923899783220013,105,315,3,0.0380952380952381,True,True,False,0.001
32,32,simMed_test.mat,0.003,0.8138666025670928,0.9073716116760043,-0.09350500910891152,0.0029924374730939812,0.002992437473094035,105,315,3,0.09206349206349207,True,True,False,0.003
32,32,simWind_test.mat,0.0003,0.5368152651851739,0.7807638468545907,-0.24394858166941677,0.0002900832244325381,0.00029008322443258505,105,315,3,0.025396825396825397,True,True,False,0.0003
32,32,simWind_test.mat,0.001,0.709979513423963,0.8602309264001734,-0.1502514129762104,0.0009923899783219553,0.0009923899783220013,105,315,3,0.044444444444444446,True,True,False,0.001
32,32,simMed_test.mat,0.0001,0.3631281887560889,0.63360934864356,-0.27048115988747107,9.160522876818475e-05,9.160522876818475e-05,105,315,3,0.025396825396825397,True,True,False,0.0001
32,32,simMed_test.mat,0.0003,0.5154646610355453,0.7558128748530222,-0.2403482138174768,0.0002900832244325381,0.00029008322443258505,105,315,3,0.031746031746031744,True,True,False,0.0003
32,32,simMed_test.mat,1e-05,0.184544890419632,0.29327608215617734,-0.10873119173654533,0.0,0.0,105,315,3,0.31746031746031744,True,True,False,1e-05
32,32,simMed_test.mat,3e-05,0.23292866331646772,0.40917881390388944,-0.17625015058742172,1.526753812803079e-05,1.5170607377107475e-05,105,315,3,0.15555555555555556,True,True,False,3e-05
32,32,simWind_test.mat,0.003,0.812213539733551,0.9073444822557379,-0.09513094252218697,0.0029924374730939812,0.0029922436626354763,105,315,3,0.06666666666666667,True,True,False,0.003
32,32,simWind_test.mat,0.01,0.8663473290962685,0.9448636639256635,-0.07851633482939498,0.009992820396478945,0.009992675043627683,105,315,3,0.05396825396825397,True,True,False,0.01
64,64,simMed_test.mat,0.01,0.8692331860864191,0.9567021082964711,-0.08746892221005188,0.009992820396478945,0.009992820396478997,105,315,3,0.050793650793650794,True,True,False,0.01
64,64,simWind_test.mat,1e-05,0.18451921564993898,0.32085677597452794,-0.13633756032458896,0.0,0.0,105,315,3,0.23492063492063492,True,True,False,1e-05
64,64,combined,0.01,0.8677902575913438,0.9567392479879574,-0.08894899039661361,0.009992820396478945,0.009992820396478997,210,630,3,0.03968253968253968,True,True,False,0.01
64,64,simMed_test.mat,1e-05,0.184544890419632,0.3045600149738198,-0.12001512455418778,0.0,0.0,105,315,3,0.2857142857142857,True,True,False,1e-05
64,64,simWind_test.mat,0.0001,0.3732452108276595,0.6578906207544744,-0.2846454099268149,9.160522876818475e-05,9.160522876818475e-05,105,315,3,0.02857142857142857,True,True,False,0.0001
64,64,simWind_test.mat,3e-05,0.23871466421913762,0.44341402438007044,-0.20469936016093288,1.526753812803079e-05,1.526753812803079e-05,105,315,3,0.10476190476190476,True,True,False,3e-05
64,64,simMed_test.mat,0.003,0.8138666025670928,0.9185304662227088,-0.10466386365561603,0.0029924374730939812,0.002992437473094035,105,315,3,0.05714285714285714,True,True,False,0.003
64,64,simMed_test.mat,0.001,0.6957533928816516,0.8594160108881543,-0.16366261800650267,0.0009923899783219553,0.0009923899783220013,105,315,3,0.01904761904761905,True,True,False,0.001
64,64,simMed_test.mat,0.0003,0.5154646610355453,0.7733898790127584,-0.257925217977213,0.0002900832244325381,0.00029008322443258505,105,315,3,0.01904761904761905,True,True,False,0.0003
64,64,simMed_test.mat,0.0001,0.3631281887560889,0.6492621051758185,-0.2861339164197297,9.160522876818475e-05,9.160522876818475e-05,105,315,3,0.01904761904761905,True,True,False,0.0001
