calibration_mode,calibration_asset,asset,image_index,item_id,method,pfa_target,pd,empirical_pfa,target_count,background_count,false_alarms,detections,threshold_policy
same_asset_target_free,simMed_test.mat,simMed_test.mat,11,simMed_test.mat#11,raw,0.01,0.6206896551724138,0.013149454778704297,58,65478,861,897,target_free_background_fixed_threshold
same_asset_target_free,simMed_test.mat,simMed_test.mat,11,simMed_test.mat#11,low_rank_residual_k30,0.01,0.9482758620689655,0.03700479550383335,58,65478,2423,2478,target_free_background_fixed_threshold
same_asset_target_free,simMed_test.mat,simMed_test.mat,11,simMed_test.mat#11,tpsscs_finished_detector,0.01,0.9827586206896551,0.03702006780903509,58,65478,2424,2481,target_free_background_fixed_threshold
same_asset_target_free,simMed_test.mat,simMed_test.mat,12,simMed_test.mat#12,raw,1e-05,0.17543859649122806,3.054414392400617e-05,57,65479,2,12,target_free_background_fixed_threshold
same_asset_target_free,simMed_test.mat,simMed_test.mat,12,simMed_test.mat#12,low_rank_residual_k30,1e-05,0.3157894736842105,0.00024435315139204934,57,65479,16,34,target_free_background_fixed_threshold
same_asset_target_free,simMed_test.mat,simMed_test.mat,12,simMed_test.mat#12,tpsscs_finished_detector,1e-05,0.40350877192982454,0.0002901693672780586,57,65479,19,42,target_free_background_fixed_threshold
same_asset_target_free,simMed_test.mat,simMed_test.mat,12,simMed_test.mat#12,raw,3e-05,0.19298245614035087,9.163243177201851e-05,57,65479,6,17,target_free_background_fixed_threshold
same_asset_target_free,simMed_test.mat,simMed_test.mat,12,simMed_test.mat#12,low_rank_residual_k30,3e-05,0.40350877192982454,0.00032071351120206476,57,65479,21,44,target_free_background_fixed_threshold
same_asset_target_free,simMed_test.mat,simMed_test.mat,12,simMed_test.mat#12,tpsscs_finished_detector,3e-05,0.47368421052631576,0.00036652972708807403,57,65479,24,51,target_free_background_fixed_threshold
same_asset_target_free,simMed_test.mat,simMed_test.mat,12,simMed_test.mat#12,raw,0.0001,0.22807017543859648,0.00016799279158203394,57,65479,11,24,target_free_background_fixed_threshold
same_asset_target_free,simMed_test.mat,simMed_test.mat,12,simMed_test.mat#12,low_rank_residual_k30,0.0001,0.47368421052631576,0.0006414270224041295,57,65479,42,69,target_free_background_fixed_threshold
same_asset_target_free,simMed_test.mat,simMed_test.mat,12,simMed_test.mat#12,tpsscs_finished_detector,0.0001,0.5087719298245614,0.0006719711663281358,57,65479,44,73,target_free_background_fixed_threshold
same_asset_target_free,simMed_test.mat,simMed_test.mat,12,simMed_test.mat#12,raw,0.0003,0.3157894736842105,0.00032071351120206476,57,65479,21,39,target_free_background_fixed_threshold
same_asset_target_free,simMed_test.mat,simMed_test.mat,12,simMed_test.mat#12,low_rank_residual_k30,0.0003,0.5964912280701754,0.0009926846775302005,57,65479,65,99,target_free_background_fixed_threshold
same_asset_target_free,simMed_test.mat,simMed_test.mat,12,simMed_test.mat#12,tpsscs_finished_detector,0.0003,0.5964912280701754,0.0010232288214542067,57,65479,67,101,target_free_background_fixed_threshold
same_asset_target_free,simMed_test.mat,simMed_test.mat,12,simMed_test.mat#12,raw,0.001,0.40350877192982454,0.0007788756700621573,57,65479,51,74,target_free_background_fixed_threshold
same_asset_target_free,simMed_test.mat,simMed_test.mat,12,simMed_test.mat#12,low_rank_residual_k30,0.001,0.7017543859649122,0.0018631927793643763,57,65479,122,162,target_free_background_fixed_threshold
same_asset_target_free,simMed_test.mat,simMed_test.mat,12,simMed_test.mat#12,tpsscs_finished_detector,0.001,0.7017543859649122,0.0018784648513263794,57,65479,123,163,target_free_background_fixed_threshold
same_asset_target_free,simMed_test.mat,simMed_test.mat,12,simMed_test.mat#12,raw,0.003,0.47368421052631576,0.002015913498984407,57,65479,132,159,target_free_background_fixed_threshold
same_asset_target_free,simMed_test.mat,simMed_test.mat,12,simMed_test.mat#12,low_rank_residual_k30,0.003,0.7719298245614035,0.003191863040058645,57,65479,209,253,target_free_background_fixed_threshold
same_asset_target_free,simMed_test.mat,simMed_test.mat,12,simMed_test.mat#12,tpsscs_finished_detector,0.003,0.7719298245614035,0.003207135112020648,57,65479,210,254,target_free_background_fixed_threshold
