asset,item_id,image_index,target_count,pfa_target,target_pd,comparator_pd,comparator,delta_pd
simMed_test.mat,simMed_test.mat#110,110,63,0.0003,0.4285714285714285,0.365079365079365,low_rank_residual_k30,0.06349206349206349
simMed_test.mat,simMed_test.mat#110,110,63,0.001,0.6984126984126984,0.6349206349206349,low_rank_residual_k30,0.06349206349206349
simMed_test.mat,simMed_test.mat#110,110,63,0.003,0.9206349206349206,0.873015873015873,low_rank_residual_k30,0.04761904761904756
simMed_test.mat,simMed_test.mat#110,110,63,0.01,0.9682539682539684,0.9365079365079364,low_rank_residual_k30,0.031746031746031966
simMed_test.mat,simMed_test.mat#110,110,63,1e-05,0.1111111111111111,0.0634920634920634,raw,0.0476190476190477
simMed_test.mat,simMed_test.mat#110,110,63,3e-05,0.1428571428571428,0.0952380952380952,raw,0.04761904761904759
simMed_test.mat,simMed_test.mat#110,110,63,0.0001,0.2539682539682539,0.1746031746031746,raw,0.0793650793650793
simMed_test.mat,simMed_test.mat#110,110,63,0.0003,0.4285714285714285,0.3174603174603174,raw,0.1111111111111111
simMed_test.mat,simMed_test.mat#110,110,63,0.001,0.6984126984126984,0.4126984126984127,raw,0.2857142857142857
simMed_test.mat,simMed_test.mat#110,110,63,0.003,0.9206349206349206,0.4761904761904761,raw,0.4444444444444445
simMed_test.mat,simMed_test.mat#110,110,63,0.01,0.9682539682539684,0.6031746031746031,raw,0.3650793650793652
simMed_test.mat,simMed_test.mat#110,110,63,1e-05,0.1111111111111111,0.0634920634920634,tpsscs_trainable_gate,0.0476190476190477
simMed_test.mat,simMed_test.mat#110,110,63,3e-05,0.1428571428571428,0.0952380952380952,tpsscs_trainable_gate,0.04761904761904759
simMed_test.mat,simMed_test.mat#110,110,63,0.0001,0.2539682539682539,0.1746031746031746,tpsscs_trainable_gate,0.0793650793650793
simMed_test.mat,simMed_test.mat#110,110,63,0.0003,0.4285714285714285,0.4285714285714285,tpsscs_trainable_gate,0.0
simMed_test.mat,simMed_test.mat#110,110,63,0.001,0.6984126984126984,0.6666666666666666,tpsscs_trainable_gate,0.031746031746031744
simMed_test.mat,simMed_test.mat#110,110,63,0.003,0.9206349206349206,0.984126984126984,tpsscs_trainable_gate,-0.06349206349206338
simMed_test.mat,simMed_test.mat#110,110,63,0.01,0.9682539682539684,1.0,tpsscs_trainable_gate,-0.03174603174603163
simMed_test.mat,simMed_test.mat#111,111,43,1e-05,0.1162790697674418,0.1162790697674418,low_rank_residual_k30,0.0
simMed_test.mat,simMed_test.mat#111,111,43,3e-05,0.1395348837209302,0.1395348837209302,low_rank_residual_k30,0.0
simMed_test.mat,simMed_test.mat#111,111,43,0.0001,0.2325581395348837,0.2325581395348837,low_rank_residual_k30,0.0
simMed_test.mat,simMed_test.mat#111,111,43,0.0003,0.4651162790697674,0.4651162790697674,low_rank_residual_k30,0.0
simMed_test.mat,simMed_test.mat#111,111,43,0.001,0.5813953488372093,0.5813953488372093,low_rank_residual_k30,0.0
simMed_test.mat,simMed_test.mat#111,111,43,0.003,0.6976744186046512,0.6976744186046512,low_rank_residual_k30,0.0
simMed_test.mat,simMed_test.mat#111,111,43,0.01,0.7674418604651163,0.7674418604651163,low_rank_residual_k30,0.0
simMed_test.mat,simMed_test.mat#111,111,43,1e-05,0.1162790697674418,0.0697674418604651,raw,0.0465116279069767
simMed_test.mat,simMed_test.mat#111,111,43,3e-05,0.1395348837209302,0.0930232558139534,raw,0.0465116279069768
simMed_test.mat,simMed_test.mat#111,111,43,0.0001,0.2325581395348837,0.1162790697674418,raw,0.11627906976744189
simMed_test.mat,simMed_test.mat#111,111,43,0.0003,0.4651162790697674,0.1627906976744186,raw,0.3023255813953488
simMed_test.mat,simMed_test.mat#111,111,43,0.001,0.5813953488372093,0.1860465116279069,raw,0.3953488372093025
simMed_test.mat,simMed_test.mat#111,111,43,0.003,0.6976744186046512,0.2790697674418604,raw,0.4186046511627908
