asset,pfa_target,method,method_family,pd_mean,empirical_pfa_mean,n_items
combined,3e-05,low_rank_residual_k30_os75_cfar_local,classical_local_cfar,0.1465216941412351,1.526753812803079e-05,210
combined,3e-05,low_rank_residual_k30_soca_cfar_local,classical_local_cfar,0.00480941658706091,1.526753812803079e-05,210
combined,3e-05,raw_ca_cfar_local,classical_local_cfar,0.11212388407899777,1.526753812803079e-05,210
combined,3e-05,raw_global_topk,global,0.12101225797420942,1.526753812803079e-05,210
combined,3e-05,raw_goca_cfar_local,classical_local_cfar,0.10789360524239121,1.526753812803079e-05,210
combined,3e-05,raw_os75_cfar_local,classical_local_cfar,0.11733520859105129,1.526753812803079e-05,210
combined,3e-05,raw_soca_cfar_local,classical_local_cfar,0.005248013390854993,1.526753812803079e-05,210
combined,3e-05,tpsscs_finished_detector,proposed,0.23582166376780267,1.526753812803079e-05,210
combined,0.0001,low_rank_residual_k30_ca_cfar_local,classical_local_cfar,0.2954655582227548,9.160522876818475e-05,210
combined,0.0001,low_rank_residual_k30_global_topk,global,0.30257106980760234,9.160522876818475e-05,210
combined,0.0001,low_rank_residual_k30_goca_cfar_local,classical_local_cfar,0.2907067504593103,9.160522876818475e-05,210
combined,0.0001,low_rank_residual_k30_os75_cfar_local,classical_local_cfar,0.2972088816354687,9.160522876818475e-05,210
combined,0.0001,low_rank_residual_k30_soca_cfar_local,classical_local_cfar,0.0054175877834674,9.160522876818475e-05,210
combined,0.0001,raw_ca_cfar_local,classical_local_cfar,0.20907560610841655,9.160522876818475e-05,210
combined,0.0001,raw_global_topk,global,0.20493417808890696,9.160522876818475e-05,210
combined,0.0001,raw_goca_cfar_local,classical_local_cfar,0.20385661268432395,9.160522876818475e-05,210
combined,0.0001,raw_os75_cfar_local,classical_local_cfar,0.218067327170793,9.160522876818475e-05,210
combined,0.0001,raw_soca_cfar_local,classical_local_cfar,0.006473999514470589,9.160522876818475e-05,210
combined,0.0001,tpsscs_finished_detector,proposed,0.3681866997918742,9.160522876818475e-05,210
combined,0.0003,low_rank_residual_k30_ca_cfar_local,classical_local_cfar,0.46711990915621565,0.00029008322443258505,210
combined,0.0003,low_rank_residual_k30_global_topk,global,0.47221342299964675,0.00029008322443258505,210
combined,0.0003,low_rank_residual_k30_goca_cfar_local,classical_local_cfar,0.45651156664134074,0.00029008322443258505,210
combined,0.0003,low_rank_residual_k30_os75_cfar_local,classical_local_cfar,0.465145231830218,0.00029008322443258505,210
combined,0.0003,low_rank_residual_k30_soca_cfar_local,classical_local_cfar,0.0055109584650733755,0.00029008322443258505,210
combined,0.0003,raw_ca_cfar_local,classical_local_cfar,0.3410551249193005,0.00029008322443258505,210
combined,0.0003,raw_global_topk,global,0.2808969289153566,0.00029008322443258505,210
combined,0.0003,raw_goca_cfar_local,classical_local_cfar,0.3329818367398246,0.00029008322443258505,210
combined,0.0003,raw_os75_cfar_local,classical_local_cfar,0.3492546196387951,0.00029008322443258505,210
combined,0.0003,raw_soca_cfar_local,classical_local_cfar,0.007928332897248444,0.00029008322443258505,210
combined,0.0003,tpsscs_finished_detector,proposed,0.5261399631103596,0.00029008322443258505,210
combined,0.001,low_rank_residual_k30_ca_cfar_local,classical_local_cfar,0.6712969248212329,0.0009923899783220015,210
combined,0.001,low_rank_residual_k30_global_topk,global,0.6592405050150983,0.0009923899783220015,210
combined,0.001,low_rank_residual_k30_goca_cfar_local,classical_local_cfar,0.6616241898281038,0.0009923899783220015,210
combined,0.001,low_rank_residual_k30_os75_cfar_local,classical_local_cfar,0.6715836141170598,0.0009923899783220015,210
combined,0.001,low_rank_residual_k30_soca_cfar_local,classical_local_cfar,0.006170299124414035,0.0009923899783220015,210
combined,0.001,raw_ca_cfar_local,classical_local_cfar,0.549601805175821,0.0009923899783220015,210
combined,0.001,raw_global_topk,global,0.37707533805908117,0.0009923899783220015,210
