asset,comparator,pfa_target,n_items,target_pd_mean,comparator_pd_mean,mean_delta_pd,median_delta_pd,q05_delta_pd,min_delta_pd,max_delta_pd,bootstrap_ci95_low,bootstrap_ci95_high,wins,ties,losses,win_fraction,nonnegative_fraction,matched_sign_effect,one_sided_sign_p,bh_fdr_q_all_tests,positive_bootstrap_ci,significant_bh_0p05
simWind_test.mat,low_rank_residual_k30,0.01,105,0.8663473290962684,0.8393465413357233,0.027000787760545222,0.0,0.0,0.0,0.19999999999999996,0.01947688097177637,0.035557469873659694,47,58,0,0.44761904761904764,1.0,1.0,7.105427357601002e-15,9.325873406851315e-15,True,True
simWind_test.mat,raw,1e-05,105,0.18451921564993898,0.08157103884127036,0.10294817680866862,0.08571428571428569,0.0,-0.06666666666666671,0.3529411764705882,0.08872291482760976,0.11783418078811414,95,8,2,0.9047619047619048,0.9809523809523809,0.9587628865979382,3.000195794736552e-26,6.300411168946759e-26,True,True
simWind_test.mat,raw,3e-05,105,0.23871466421913762,0.12712998216772953,0.11158468205140809,0.1111111111111111,-0.05194805194805189,-0.1612903225806451,0.4,0.09215317687924954,0.13084636600296115,89,7,9,0.8476190476190476,0.9142857142857143,0.8163265306122449,5.5093719261937e-18,8.26405788929055e-18,True,True
simWind_test.mat,raw,0.0001,105,0.37324521082765943,0.21430520549964138,0.15894000532801814,0.1428571428571429,-0.040476190476190485,-0.10000000000000003,0.5384615384615385,0.13681830272990397,0.1811873400522468,93,4,8,0.8857142857142857,0.9238095238095239,0.8415841584158416,8.702945103811517e-20,1.4428566882634885e-19,True,True
simWind_test.mat,raw,0.0003,105,0.536815265185174,0.2932267184715584,0.24358854671361543,0.23076923076923078,0.05462184873949584,-0.15000000000000002,0.7692307692307694,0.2158909984082196,0.27235364127041023,101,2,2,0.9619047619047619,0.9809523809523809,0.9611650485436893,5.2824098365862e-28,1.2325622952034467e-27,True,True
simWind_test.mat,raw,0.001,105,0.709979513423963,0.397208550062243,0.31277096336172006,0.30769230769230765,0.04051063829787238,-0.10000000000000003,0.84,0.28050750747582714,0.3450837017437503,102,1,2,0.9714285714285714,0.9809523809523809,0.9615384615384616,2.692480877132466e-28,6.52408827920559e-28,True,True
simWind_test.mat,raw,0.003,105,0.8122135397335508,0.5055982782592047,0.3066152614743463,0.30232558139534876,0.0,-0.10344827586206895,0.64,0.27403078603935416,0.3393747014811953,98,5,2,0.9333333333333333,0.9809523809523809,0.96,3.9845364322713306e-27,8.656061904589443e-27,True,True
simWind_test.mat,raw,0.01,105,0.8663473290962684,0.6761250342301375,0.19022229486613113,0.1785714285714286,-0.049373618275607954,-0.2142857142857143,0.56,0.15980937225683686,0.21991432726061275,95,1,9,0.9047619047619048,0.9142857142857143,0.8269230769230769,1.4928725441433015e-19,2.411563340539179e-19,True,True
simWind_test.mat,tpsscs_trainable_gate,1e-05,105,0.18451921564993898,0.09677142434078942,0.08774779130914959,0.07999999999999999,0.0,0.0,0.2941176470588235,0.07618395718353621,0.09962151245831777,96,9,0,0.9142857142857143,1.0,1.0,1.262177448353619e-29,3.7865323450608567e-29,True,True
simWind_test.mat,tpsscs_trainable_gate,3e-05,105,0.23871466421913762,0.15965253467602922,0.07906212954310839,0.07843137254901959,-0.08062015503875973,-0.2083333333333334,0.3076923076923077,0.061125091513048235,0.09695520144010152,84,10,11,0.8,0.8952380952380953,0.7684210526315789,2.259222903172665e-15,3.094153106519085e-15,True,True
simWind_test.mat,tpsscs_trainable_gate,0.0001,105,0.37324521082765943,0.31759868731985286,0.0556465235078066,0.07272727272727272,-0.11719457013574666,-0.1666666666666667,0.3529411764705883,0.03668859757899187,0.07504385623725987,69,6,30,0.6571428571428571,0.7142857142857143,0.3939393939393939,5.5470181634062977e-05,6.852198907737192e-05,True,True
simWind_test.mat,tpsscs_trainable_gate,0.0003,105,0.536815265185174,0.5427654402491557,-0.00595017506398185,0.0,-0.19134615384615383,-0.35000000000000003,0.20000000000000007,-0.02628189731716967,0.013464826109332249,47,9,49,0.44761904761904764,0.5333333333333333,-0.020833333333333332,1.0,1.0,False,False
simWind_test.mat,tpsscs_trainable_gate,0.001,105,0.709979513423963,0.7781310425603991,-0.06815152913643605,-0.05084745762711862,-0.2482758620689655,-0.43333333333333335,0.14814814814814814,-0.08820978250990605,-0.04959730765071813,19,14,72,0.18095238095238095,0.3142857142857143,-0.5824175824175825,1.0,1.0,False,False
simWind_test.mat,tpsscs_trainable_gate,0.003,105,0.8122135397335508,0.8764721355808912,-0.0642585958473402,-0.03921568627451,-0.2152923538230885,-0.4285714285714286,0.07407407407407407,-0.08073787130653327,-0.049420000466387976,3,22,80,0.02857142857142857,0.23809523809523808,-0.927710843373494,1.0,1.0,False,False
simWind_test.mat,tpsscs_trainable_gate,0.01,105,0.8663473290962684,0.914733709844058,-0.048386380747789455,-0.032258064516129004,-0.17018909899888765,-0.4285714285714286,0.02857142857142858,-0.06288673166339404,-0.035191317394120174,3,32,70,0.02857142857142857,0.3333333333333333,-0.9178082191780822,1.0,1.0,False,False
