asset,item_id,image_index,target_count,tpsscs_auc,comparator_auc,comparator,delta_auc
simWind_test.mat,simWind_test.mat#91,91,46,0.47399867692062375,0.34306653028409456,raw,0.1309321466365292
simWind_test.mat,simWind_test.mat#92,92,61,0.5182153442876973,0.2709384798172944,raw,0.24727686447040292
simWind_test.mat,simWind_test.mat#93,93,63,0.4442199730455383,0.2904176649193954,raw,0.15380230812614287
simWind_test.mat,simWind_test.mat#94,94,20,0.37216792680801963,0.4392159058960254,raw,-0.06704797908800575
simWind_test.mat,simWind_test.mat#95,95,34,0.5832375178965054,0.19040775087845616,raw,0.39282976701804917
simWind_test.mat,simWind_test.mat#97,97,60,0.45728071810760146,0.3348042876044866,raw,0.12247643050311485
simWind_test.mat,simWind_test.mat#99,99,40,0.5294665359667018,0.22037057779069058,raw,0.3090959581760112
simMed_test.mat,simMed_test.mat#0,0,43,0.5438013801736892,0.5205455662202008,low_rank_residual_k30,0.023255813953488413
simMed_test.mat,simMed_test.mat#100,100,53,0.5454026055235656,0.4953759230742616,low_rank_residual_k30,0.05002668244930397
simMed_test.mat,simMed_test.mat#101,101,51,0.48991879023272383,0.4640740679488067,low_rank_residual_k30,0.025844722283917154
simMed_test.mat,simMed_test.mat#102,102,39,0.5110890913559349,0.4667061585627797,low_rank_residual_k30,0.04438293279315525
simMed_test.mat,simMed_test.mat#104,104,25,0.6354686828928315,0.44562120786136705,low_rank_residual_k30,0.18984747503146449
simMed_test.mat,simMed_test.mat#105,105,26,0.6052039577887569,0.5316326676944001,low_rank_residual_k30,0.07357129009435681
simMed_test.mat,simMed_test.mat#107,107,49,0.46538651302752426,0.43508554357555607,low_rank_residual_k30,0.030300969451968196
simMed_test.mat,simMed_test.mat#108,108,25,0.572592924465105,0.5395646410688427,low_rank_residual_k30,0.03302828339626229
simMed_test.mat,simMed_test.mat#11,11,58,0.5187630561425723,0.4857828226519986,low_rank_residual_k30,0.03298023349057372
simMed_test.mat,simMed_test.mat#110,110,63,0.5006228895374026,0.4425428828986742,low_rank_residual_k30,0.05808000663872842
simMed_test.mat,simMed_test.mat#111,111,43,0.42883955375135435,0.42883955375135435,low_rank_residual_k30,0.0
simMed_test.mat,simMed_test.mat#112,112,47,0.5243595472363576,0.5030829514916767,low_rank_residual_k30,0.021276595744680882
simMed_test.mat,simMed_test.mat#113,113,14,0.41207611579049624,0.26921897293335334,low_rank_residual_k30,0.1428571428571429
simMed_test.mat,simMed_test.mat#114,114,36,0.6068146695926316,0.5887198315422676,low_rank_residual_k30,0.018094838050364048
simMed_test.mat,simMed_test.mat#115,115,22,0.32060835177215696,0.32060835177215696,low_rank_residual_k30,0.0
simMed_test.mat,simMed_test.mat#116,116,27,0.5066170903210396,0.49132621837832574,low_rank_residual_k30,0.01529087194271389
simMed_test.mat,simMed_test.mat#117,117,56,0.45551316155623667,0.44218839591719,low_rank_residual_k30,0.013324765639046665
simMed_test.mat,simMed_test.mat#118,118,57,0.4504456791897529,0.4402786579771223,low_rank_residual_k30,0.010167021212630634
simMed_test.mat,simMed_test.mat#12,12,57,0.4734361105591037,0.4168868451116252,low_rank_residual_k30,0.05654926544747846
simMed_test.mat,simMed_test.mat#121,121,37,0.5346232538667123,0.5075962268396853,low_rank_residual_k30,0.027027027027026973
simMed_test.mat,simMed_test.mat#122,122,15,0.4242558884693633,0.3575892218026966,low_rank_residual_k30,0.06666666666666671
simMed_test.mat,simMed_test.mat#123,123,42,0.5488125241460786,0.5072366461511593,low_rank_residual_k30,0.04157587799491935
simMed_test.mat,simMed_test.mat#124,124,25,0.39228787452803376,0.39228787452803376,low_rank_residual_k30,0.0
simMed_test.mat,simMed_test.mat#125,125,59,0.516709462743541,0.46624978046015686,low_rank_residual_k30,0.050459682283384155
